Timestamp,Source IP,Destination IP,Source Port,Destination Port,TTL,Protocol,Flags,Length,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std
1711787012.181611,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,1.1199259757995605,23,0,3573,0,957,54,148.875,0.11908284023668639
1711787012.181683,192.168.246.147,13.107.6.158,53532,443,128,6,DF,126,1.1199979782104492,24,0,3699,0,957,54,147.96,0.17428571428571435
1711787012.202564,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,1.1188199520111084,26,0,9320,0,1434,54,345.18518518518516,5.392318244170095
1711787012.211493,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,1.127748966217041,27,0,9374,0,1434,54,334.7857142857143,5.199735449735449
1711787012.32011,13.107.6.158,192.168.246.147,443,53532,115,6,DF,358,1.2363660335540771,28,0,9732,0,1434,54,335.58620689655174,0.06260836062415714
1711787012.320174,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,1.2364299297332764,29,0,9824,0,1434,54,327.46666666666664,2.559420289855072
1711787012.320192,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,1.2585070133209229,25,0,3753,0,957,54,144.34615384615384,1.673076923076923
1711787012.434629,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,1.3729438781738281,26,0,3922,0,957,54,145.25925925925927,0.1404777558623712
1711787012.434688,192.168.246.147,13.107.6.158,53532,443,128,6,DF,128,1.3730030059814453,27,0,4050,0,957,54,144.64285714285714,0.1300223214285714
1711787012.46463,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,1.3808858394622803,30,0,9878,0,1434,54,318.64516129032256,4.900836320191159
1711787012.472615,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,1.3888709545135498,31,0,9932,0,1434,54,310.375,4.747685185185185
1711787012.571968,13.107.6.158,192.168.246.147,443,53532,115,6,DF,357,1.4882240295410156,32,0,10289,0,1434,54,311.7878787878788,0.12664459723283247
1711787012.572045,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,1.4883010387420654,33,0,10381,0,1434,54,305.3235294117647,2.3187340153452682
1711787012.572063,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,1.5103778839111328,28,0,4104,0,957,54,141.51724137931035,1.620689655172414
1711787012.64634,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,1.5846548080444336,29,0,4273,0,957,54,142.43333333333334,0.15719921104536486
1711787012.646391,192.168.246.147,13.107.6.158,53532,443,128,6,DF,130,1.5847058296203613,30,0,4403,0,957,54,142.03225806451613,0.09255583126550868
1711787012.676546,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,1.5928020477294922,34,0,10435,0,1434,54,298.14285714285717,4.521164021164021
1711787012.679559,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,1.5958149433135986,35,0,10489,0,1434,54,291.3611111111111,4.395576131687243
1711787012.77454,13.107.6.158,192.168.246.147,443,53532,115,6,DF,356,1.6907958984375,36,0,10845,0,1434,54,293.1081081081081,0.17666261767385358
1711787012.774617,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,1.6908729076385498,37,0,10937,0,1434,54,287.8157894736842,2.1284324942791764
1711787012.774635,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,1.7129499912261963,31,0,4457,0,957,54,139.28125,1.5792824074074074
